id,source,policy_text,best_article_number,heuristic_score,semantic_score,llm_verdict,llm_score,llm_assessment,combined_score,combined_label
www_figma_com_privacy_001,www_figma_com_privacy,privacy policy skip to main content products solutions community resources pricing log in contact sales get started get started for free figma design design and prototype in one place dev mode translate designs into code figjam collaborate with a digital whiteboard figma slides co-create presentatio...,14,0.583,0.154,Partially compliant,0.5,"Article: Article 14 - Right to information
Verdict: Partially compliant
Why: The paragraph includes some necessary elements for informing the data subject, but lacks specific mention of legal basis and doesn't address transfer out of EU.
Fix: Explicitly state the legal basis under GDPR Article 6(1)–(4), explain this within provided information to the user; ensure all personal data transfers outside the EEA are accompanied by appropriate safeguards or explicit consent as per Articles 13 and 14.",0.434,Partially compliant
www_webmd_com_privacy_001,www_webmd_com_privacy,webmd privacy policy skip to main content home conditions back conditions view all add/adhd allergies arthritis atrial fibrillation breast cancer cancer crohns disease depression diabetes dvt eczema eye health heart disease hiv  aids lung disease lupus mental health multiple sclerosis migraine pain ...,14,0.667,0.067,Partially compliant,0.5,"Article: Article 14 - Information to be provided where personal data have not been obtained from the data subject.

Verdict: Partially compliant.

Why: The paragraph mentions that contact details should include those of a representative and possibly a data protection officer, but it lacks specific information about the purposes for processing, legal basis, categories involved in this case (which seems to be related with medications), recipients or relevant parties handling the user's personal data.

Fix: Include clear statements on why these particular health conditions are being processed and how they relate back to users not providing their details directly; list specific purposes for processing, legal basis such as consent given by individuals (if applicable); provide categories of sensitive health information involved in this scenario; clearly identify recipients or entities who will handle user data.",0.433,Partially compliant
www_hsbc_com_privacy_001,www_hsbc_com_privacy,"privacy notices  safeguard your data  hsbc holdings plc skip to: skip to primary navigation skip to main content skip to footer menu who we are skip to investors who we are founded in 1865, hsbc is one of the worlds largest banking and financial services organisations. go to this section main menu w...",14,0.667,0.075,Partially compliant,0.5,"Article: Article 14 — Information to be provided where personal data have not been obtained from the data subject.
Verdict: Partially compliant.
Why: The paragraph mentions contact details of HSBC Holdings plc but lacks comprehensive information on purpose, legal basis for processing and recipients as required by Article 14(a)-(e). It also does not mention data transfers to third countries or the safeguards in place.
Fix: Include detailed sections that clearly state all requested elements from GDPR's Article 14, particularly providing purposes of processing and legal basis for personal data handling along with recipient information where applicable. Also include details about any transfer mechanisms used when dealing with third countries or international organizations.",0.436,Partially compliant
www_marriott_com_privacy_001,www_marriott_com_privacy,privacy center skip to content open menu marriott bonvoy help english my trips sign in or join sign in or join sign in join sign in to your account close dialog email or member number email or member number password remember me sign in forgot password  clear remembered account activate online accoun...,14,0.792,0.154,Partially compliant,0.5,"Article: Article 14 — Information to be provided where personal data have not been obtained from the data subject.
Verdict: Partially compliant.
Why: The paragraph provides some required information, such as contact details and purpose of processing but lacks clear identification regarding transferring data internationally or safeguards for this action.
Fix: Include a statement clarifying that the controller intends to transfer personal data internationally if applicable, and reference any existing adequacy decisions by Commission or other appropriate safeguards in place with accessible means of obtaining them (e.g., ""Where we share your information across borders within Europe for processing purposes as part of our operations involving multiple countries where you stay, please note that this is done under a valid legal framework ensuring the protection of personal data."").",0.487,Partially compliant
www_australia_gov_au_privacy_001,www_australia_gov_au_privacy,find government payments and services  mygov skip to main content browse search menu help raising kids living arrangements ageing work education health and disability home find government payments and services about mygov help using mygov contact us share feedback mygov user audit raising kids livin...,72,0.417,0.037,Partially compliant,0.5,"Article: Article 72 — Procedure for taking decisions by the Board.
Verdict: Partially compliant.
Why: The paragraph does include elements relevant to GDPR, such as contact information and a mention of audits which could relate to personal data processing activities; however, it lacks clear consent mechanisms or specific measures for safeguarding user rights under the General Data Protection Regulation (GDPR).
Fix: Add explicit procedures detailing how individuals can exercise their GDPR-guaranteed rights and confirmations of obtaining proper consents before collecting personal data.",0.363,Partially compliant
wordpress_org_privacy_001,wordpress_org_privacy,privacy  wordpress.org wordpress.org news showcase hosting extend themes plugins patterns blocks openverse   learn learn wordpress documentation forums developers wordpress.tv   community make wordpress photo directory five for the future events job board   about about wordpress enterprise gutenberg...,13,0.542,0.06,Partially compliant,0.5,"Article: Article 13 — Conditions for processing special categories of personal data, particularly where the purposes relate to health or biology. (Note that while this article is mentioned in your paragraph listings and relates to privacy concerns which are central under GDPR, it was not directly referenced in the provided text.)
Verdict: Partially compliant
Why: The paragraph indicates an intention to provide information on data processing but lacks specific details about these aspects. It doesn't explicitly mention legitimate interests or third-country transfer considerations as required by Article 13(1)(f) and (g).
Fix: Add a section detailing the purposes of data collection, legal basis for processing including any reliance on consent or other lawful bases under GDPR. Also include information regarding intending to transfer personal data outside the EU/EEA with reference to safeguards as per Article 13(f).",0.4,Partially compliant
www_walmart_com_privacy_001,www_walmart_com_privacy,"robot or human? robot or human? activate and hold the button to confirm that youre human. thank you! terms of use privacy policy do not sell my personal information request my personal information  walmart stores, inc.",14,0.333,0.055,Partially compliant,0.5,"Article: Article 14 — Conditions applying to information where personal data have not been obtained from the controller or the processor.  
Verdict: Partially compliant    
Why: The paragraph provides some necessary details but is repetitive and unclear on specific categories of recipients, purposes, legal basis for processing, etc. Additionally, it lacks a complete sentence structure which might confuse readers about its meaning or intentions under GDPR rules.  
Fix: Remove redundant phrases and clarify the information by explicitly mentioning each required detail in full sentences according to Article 14 guidelines (e.g., identity of controller, purposes for processing with legal basis).",0.347,Partially compliant
ec_europa_eu_privacy_001,ec_europa_eu_privacy,privacy policy for websites managed by the european commission - european commission skip to main content en select your language close bg български es español cs čeština da dansk de deutsch et eesti el ελληνικά en english fr français ga gaeilge hr hrvatski it italiano lv latviešu lt lietuvių hu mag...,13,0.875,0.146,Partially compliant,0.5,"Article: Article 13 — Information to be provided where personal data are collected from the data subject.
Verdict: Partially compliant
Why: The paragraph provides some required information such as identity and purpose of processing but lacks specifics on legal basis, recipients or categories of recipients, third-country transfer details, adequacy decisions, and appropriate safeguards. It also includes unrelated text regarding the European Commission's role in strategy and policy that is not relevant to GDPR Article 13 compliance.
Fix: Include complete sentences providing all requested information as per Article 13(1), remove irrelevant content about Europe’s leadership, streamline language for clarity on data handling practices including any third-country transfers in accordance with the law and add specific details where generic terms are used (e.g., replace 'you' or 'your').",0.505,Partially compliant
www_ox_ac_uk_privacy_001,www_ox_ac_uk_privacy,privacy policy - website  university of oxford skip to main content home home search admissions undergraduate graduate lifelong learning research engage with us support for researchers using research to engage recognition news  events events pulse features oxford profiles filming in oxford find an e...,13,0.667,0.193,Partially compliant,0.5,"Article: Article 13 — Information to be provided where personal data are collected from the data subject.
Verdict: Partially compliant.
Why: The paragraph provides some required information such as contact details and purpose of processing, but it lacks specific mentions of lawful basis for transferring data internationally (adequacy decision/safeguards).
Fix: Include a clear statement regarding the legal basis for international transfers of personal data along with corresponding adequacy decisions or safeguards in place.",0.465,Partially compliant
www_metlife_com_privacy_001,www_metlife_com_privacy,welcome to metlifes privacy center skip navigation solutions support about us resources log in search log in search solutions insurance business and brokers metlife investment management retirement  income solutions insurance enhance your health coverage dental vision pet insurance protect your fina...,88,0.458,0.036,Non-compliant,0.0,"Article: Article 88 (nan) of GDPR - Processing in the context of employment
Verdict: Non-compliant with specific aspects relating to transparency and monitoring systems at work.
Why: The paragraph does not clearly inform data subjects about their rights, how personal data is processed within this employment-related processing framework (e.g., recruitment, contract performance), or the transfer of such data internally for organizational purposes as mandated by GDPR Article 88(2).
Fix: Include a dedicated section in communication materials that transparently details how personal employee data is processed within this employment context, including information on rights to object and data subjects' recourse options.",0.123,Likely non-compliant
